step,train_loss,val_loss
1,0.693147123,0.693147182
101,0.555643022,0.361278623
201,0.28170234,0.394249797
301,0.354202539,0.521099746
401,0.363176167,0.513704896
501,0.369028628,0.495332062
601,0.53452611,0.356708944
701,0.341380447,0.585596859
801,0.631892681,0.452010423
901,0.324616283,0.411497533
1001,0.418785304,0.542359471
1101,0.497126043,0.521340609
1201,0.44247067,0.630659401
1301,0.516530991,0.550720692
1401,0.410140842,0.548462033
1501,0.462209016,0.293779701
1601,0.543772399,0.410489887
1701,0.563017368,0.382078618
1801,0.369259715,0.547370255
1901,0.415400058,0.535914004
2001,0.365824282,0.395891041
2101,0.518262863,0.418966413
2201,0.297409922,0.309837371
2301,0.526719093,0.343946368
2401,0.416291267,0.543878853
2501,0.425107479,0.385986686
2601,0.342893034,0.528543651
2701,0.514944375,0.367475092
2801,0.355223984,0.447167844
2901,0.35327521,0.356218159
3001,0.421521842,0.398162007
3101,0.53914094,0.344890624
3201,0.316852719,0.420841783
3301,0.401388526,0.419205546
3401,0.351283014,0.401100993
3501,0.372493386,0.493660808
3601,0.331071109,0.4490529
3701,0.400111794,0.336107135
3801,0.401966304,0.34075889
3901,0.325238943,0.339495063
4001,0.372614056,0.489555538
4101,0.368200421,0.397780031
4201,0.567419708,0.296304435
4301,0.515987098,0.486525893
4401,0.329841077,0.513906121
4501,0.595503449,0.399145842
4601,0.543204486,0.309803873
4701,0.313391298,0.452090681
4801,0.354036689,0.5600003
4901,0.630211651,0.308613092
5001,0.331237853,0.451936424
5101,0.466951638,0.387610972
5201,0.358020097,0.554662347
5301,0.553686917,0.538643241
5401,0.466912687,0.42080009
5501,0.44214195,0.338430405
5601,0.394585252,0.287032485
5701,0.487621158,0.4206855
5801,0.419813067,0.38314119
5901,0.508594155,0.300680608
6001,0.462486297,0.290552527
6101,0.517566025,0.510160446
6201,0.494936198,0.552062452
6301,0.331487894,0.478878349
6401,0.539811611,0.54728806
6501,0.584769726,0.292994291
6601,0.568674088,0.65571177
6701,0.404615551,0.488059014
6801,0.465570331,0.516953766
6901,0.434149951,0.365576744
7001,0.505987167,0.38804242
7101,0.43730405,0.446944237
7201,0.348690748,0.400095701
7301,0.313034266,0.394538701
7401,0.355535597,0.337313384
7501,0.366521388,0.336619765
7601,0.406029582,0.366537511
7701,0.467882574,0.418861091
7801,0.56753099,0.522562683
7901,0.54528445,0.47985822
8001,0.445136875,0.393872082
8101,0.415647805,0.347598732
8201,0.513437092,0.342846394
8301,0.309989154,0.31973055
8401,0.231821463,0.236212716
8501,0.28412348,0.184335396
8601,0.227746934,0.275701761
8701,0.187199011,0.15792793
8801,0.241035029,0.278757274
8901,0.23700574,0.219530851
9001,0.210622728,0.264999598
9101,0.2270322,0.210966334
9201,0.226592526,0.248376593
9301,0.28019771,0.318785906
9401,0.222936451,0.213010669
9501,0.211888403,0.318512261
9601,0.298343599,0.209242612
9701,0.155620962,0.164898589
9801,0.178899199,0.252285689
9901,0.159579039,0.36089474
10001,0.122655831,0.201269805
10101,0.301501542,0.179263428
10201,0.139594167,0.309651136
10301,0.284099907,0.183915719
10401,0.244794309,0.152176455
10501,0.197906911,0.168183967
10601,0.213145137,0.31187132
10701,0.185311601,0.291251361
10801,0.119648434,0.072925769
10901,0.173352763,0.120999865
11001,0.188300326,0.145833939
11101,0.126292393,0.178084418
11201,0.094789989,0.188747898
11301,0.121149585,0.24972403
11401,0.182775632,0.25555256
11501,0.784751356,0.142220899
11601,0.224572212,0.172723755
11701,0.154459283,0.146258891
11801,0.201500446,0.184117287
11901,0.081277311,0.146308944
12001,0.076413848,0.128817737
12101,0.112091884,0.255416363
12201,0.062948152,0.091070585
12301,0.07576257,0.157069772
12401,0.0798904,0.148627684
12501,0.357095122,0.203552634
12601,0.171861246,0.115114406
12701,0.130664587,0.141791686
12801,0.14674437,0.140032947
12901,0.13925238,0.1049667
13001,0.223772198,0.053031713
13101,0.039131477,0.105976559
13201,0.042628527,0.177800775
13301,0.141621858,0.122713625
13401,0.043977864,0.039277475
13501,0.124054559,0.141113907
13601,0.052091226,0.404932708
13701,0.121228933,0.341178566
13801,0.051853999,0.102555692
13901,0.10821721,0.24869284
14001,0.130202249,0.048407488
14101,0.217760161,0.041260671
14201,0.057079054,0.065406382
